Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 09-26,Backtest,RollingFib,Short,1,6517.25,6519.75,7/7/2025 11:20:00 AM,7/7/2025 11:35:00 AM,C1L1,Stop loss,($14.40),($14.40),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$21.25,$35.65,4,
2,MES 09-26,Backtest,RollingFib,Short,1,6517.25,6519.75,7/7/2025 11:20:00 AM,7/7/2025 11:35:00 AM,C1L2,Stop loss,($14.40),($28.80),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$21.25,$35.65,4,
3,MES 09-26,Backtest,RollingFib,Short,1,6499.25,6501.75,7/7/2025 1:35:00 PM,7/7/2025 1:35:00 PM,A2L1,Stop loss,($14.40),($43.20),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$0.00,$14.40,1,
4,MES 09-26,Backtest,RollingFib,Short,1,6499.25,6501.75,7/7/2025 1:35:00 PM,7/7/2025 1:35:00 PM,A2L2,Stop loss,($14.40),($57.60),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$0.00,$14.40,1,
5,MES 09-26,Backtest,RollingFib,Short,1,6509.75,6511.00,7/9/2025 11:25:00 AM,7/9/2025 11:25:00 AM,C3L1,Stop loss,($8.15),($65.75),$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$0.00,$8.15,1,
6,MES 09-26,Backtest,RollingFib,Short,1,6509.75,6511.00,7/9/2025 11:25:00 AM,7/9/2025 11:25:00 AM,C3L2,Stop loss,($8.15),($73.90),$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$0.00,$8.15,1,
7,MES 09-26,Backtest,RollingFib,Long,1,6546.75,6553.50,7/10/2025 11:20:00 AM,7/10/2025 11:50:00 AM,C4L1,Profit target,$31.85,($42.05),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$33.75,$1.90,7,
8,MES 09-26,Backtest,RollingFib,Long,1,6546.75,6552.75,7/10/2025 11:20:00 AM,7/10/2025 12:05:00 PM,C4L2,WndEnd,$28.10,($13.95),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$35.00,$6.90,10,
9,MES 09-26,Backtest,RollingFib,Short,1,6547.00,6539.50,7/15/2025 10:35:00 AM,7/15/2025 10:45:00 AM,C5L1,Profit target,$35.60,$21.65,$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$37.50,$1.90,3,
10,MES 09-26,Backtest,RollingFib,Short,1,6547.00,6531.75,7/15/2025 10:35:00 AM,7/15/2025 11:00:00 AM,C5L2,Profit target,$74.35,$96.00,$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$76.25,$1.90,6,
