Performance,All trades,Long trades,Short trades,
Total net profit,($3522.40),($1980.05),($1542.35),
Gross profit,$4629.30,$1136.05,$3493.25,
Gross loss,($8151.70),($3116.10),($5035.60),
Commission,$752.40,$288.80,$463.60,
Profit factor,0.57,0.36,0.69,
Max. drawdown,($4020.70),($2040.00),($2073.35),
Sharpe ratio,-0.59,-0.84,-0.37,
Sortino ratio,-0.60,-0.66,-0.41,
Ulcer index,0.05,0.03,0.02,
R squared,0.83,0.93,0.61,
Total Fees,$0.00,$0.00,$0.00,
Probability,100.00%,100.00%,98.98%,
,,,,
Start date,7/1/2025,,,
Start time,12:00 AM,,,
End date,7/5/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,396,152,244,
Percent profitable,26.01%,21.71%,28.69%,
# of winning trades,103,33,70,
# of losing trades,293,119,174,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,($8.89),($13.03),($6.32),
Avg. winning trade,$44.94,$34.43,$49.90,
Avg. losing trade,($27.82),($26.19),($28.94),
Ratio avg. win / avg. loss,1.62,1.31,1.72,
,,,,
Max. consec. winners,7,6,7,
Max. consec. losers,36,26,22,
Largest winning trade,$123.10,$105.60,$123.10,
Largest losing trade,($126.90),($63.15),($126.90),
,,,,
Avg. # of trades per day,1.59,0.63,0.98,
Avg. time in market,10.33 min,13.03 min,8.65 min,
Avg. bars in trade,2.07,2.61,1.73,
Profit per month,($297.60),($172.55),($130.31),
Max. time to recover,352.13 days,348.99 days,202.08 days,
Longest flat period,15.07 days,41.89 days,19.07 days,
,,,,
Avg. MAE,$25.32,$25.43,$25.25,
Avg. MFE,$24.32,$20.18,$26.89,
Avg. ETD,$33.21,$33.21,$33.21,
