Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 09-26,Backtest,RollingFib,Short,1,6517.25,6511.50,7/7/2025 11:25:00 AM,7/7/2025 11:50:00 AM,C1L1,Profit target,$26.85,$26.85,$1.90,$0.00,$0.00,$0.00,$0.00,$13.75,$28.75,$1.90,6,
2,MES 09-26,Backtest,RollingFib,Short,1,6517.25,6517.25,7/7/2025 11:25:00 AM,7/7/2025 12:00:00 PM,C1L2,Stop loss,($1.90),$24.95,$1.90,$0.00,$0.00,$0.00,$0.00,$13.75,$43.75,$45.65,8,
3,MES 09-26,Backtest,RollingFib,Short,1,6499.25,6504.00,7/7/2025 1:35:00 PM,7/7/2025 1:35:00 PM,A2L1,Stop loss,($25.65),($0.70),$1.90,$0.00,$0.00,$0.00,$0.00,$23.75,$0.00,$25.65,1,
4,MES 09-26,Backtest,RollingFib,Short,1,6499.25,6504.00,7/7/2025 1:35:00 PM,7/7/2025 1:35:00 PM,A2L2,Stop loss,($25.65),($26.35),$1.90,$0.00,$0.00,$0.00,$0.00,$23.75,$0.00,$25.65,1,
5,MES 09-26,Backtest,RollingFib,Short,1,6509.75,6514.75,7/9/2025 11:25:00 AM,7/9/2025 11:30:00 AM,C3L1,Stop loss,($26.90),($53.25),$1.90,$0.00,$0.00,$0.00,$0.00,$25.00,$0.00,$26.90,2,
6,MES 09-26,Backtest,RollingFib,Short,1,6509.75,6514.75,7/9/2025 11:25:00 AM,7/9/2025 11:30:00 AM,C3L2,Stop loss,($26.90),($80.15),$1.90,$0.00,$0.00,$0.00,$0.00,$25.00,$0.00,$26.90,2,
7,MES 09-26,Backtest,RollingFib,Short,1,6516.25,6516.75,7/9/2025 11:45:00 AM,7/9/2025 11:45:00 AM,C4L1,Stop loss,($4.40),($84.55),$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$0.00,$4.40,1,
8,MES 09-26,Backtest,RollingFib,Short,1,6516.25,6516.75,7/9/2025 11:45:00 AM,7/9/2025 11:45:00 AM,C4L2,Stop loss,($4.40),($88.95),$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$0.00,$4.40,1,
9,MES 09-26,Backtest,RollingFib,Long,1,6546.75,6553.50,7/10/2025 11:25:00 AM,7/10/2025 11:45:00 AM,C5L1,Profit target,$31.85,($57.10),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$33.75,$1.90,5,
10,MES 09-26,Backtest,RollingFib,Long,1,6546.75,6552.75,7/10/2025 11:25:00 AM,7/10/2025 12:05:00 PM,C5L2,WndEnd,$28.10,($29.00),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$35.00,$6.90,9,
