Performance,All trades,Long trades,Short trades,
Total net profit,($537.80),($152.90),($384.90),
Gross profit,$2252.85,$838.60,$1414.25,
Gross loss,($2790.65),($991.50),($1799.15),
Commission,$450.30,$172.90,$277.40,
Profit factor,0.81,0.85,0.79,
Max. drawdown,($537.80),($238.75),($384.90),
Sharpe ratio,-0.37,-0.28,-0.37,
Sortino ratio,-0.47,-0.37,-0.41,
Ulcer index,0.01,0.00,0.01,
R squared,0.09,0.07,0.10,
Total Fees,$0.00,$0.00,$0.00,
Probability,91.32%,74.75%,88.68%,
,,,,
Start date,7/1/2025,,,
Start time,12:00 AM,,,
End date,7/5/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,237,91,146,
Percent profitable,36.29%,34.07%,37.67%,
# of winning trades,86,31,55,
# of losing trades,151,60,91,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,($2.27),($1.68),($2.64),
Avg. winning trade,$26.20,$27.05,$25.71,
Avg. losing trade,($18.48),($16.53),($19.77),
Ratio avg. win / avg. loss,1.42,1.64,1.30,
,,,,
Max. consec. winners,5,4,4,
Max. consec. losers,15,10,10,
Largest winning trade,$73.10,$65.60,$73.10,
Largest losing trade,($78.15),($63.15),($78.15),
,,,,
Avg. # of trades per day,0.94,0.37,0.59,
Avg. time in market,3.82 min,4.01 min,3.70 min,
Avg. bars in trade,0.76,0.80,0.74,
Profit per month,($44.82),($12.92),($32.70),
Max. time to recover,365.03 days,343.97 days,357.95 days,
Longest flat period,12.09 days,21.89 days,13.21 days,
,,,,
Avg. MAE,$13.02,$12.83,$13.13,
Avg. MFE,$14.88,$14.13,$15.34,
Avg. ETD,$17.15,$15.81,$17.98,
