Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
7/2/2025,1,($18.15),($18.15),$0.00,($18.15),$1.90,($18.15),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),5.00,$16.25,$3.75,$21.90,0.42%,
7/7/2025,3,($83.85),($65.70),$0.00,($65.70),$5.70,($83.85),($65.70),0.00%,($21.90),$0.00,($21.90),$0.00,($25.65),140.00,$20.00,$1.25,$23.15,1.27%,
7/10/2025,3,($90.80),($6.95),$10.60,($17.55),$5.70,($99.50),($15.65),33.33%,($2.32),$10.60,($8.78),$10.60,($15.65),65.00,$4.58,$4.17,$6.48,1.27%,
7/15/2025,1,($77.70),$13.10,$13.10,$0.00,$1.90,($77.70),$0.00,100.00%,$13.10,$13.10,$0.00,$13.10,$0.00,10.00,$7.50,$15.00,$1.90,0.42%,
7/22/2025,2,($46.50),$31.20,$31.20,$0.00,$3.80,($63.35),$0.00,100.00%,$15.60,$15.60,$0.00,$16.85,$0.00,0.00,$1.25,$17.50,$1.90,0.84%,
7/23/2025,6,($45.40),$1.10,$26.20,($25.10),$11.40,($45.40),($25.10),33.33%,$0.18,$13.10,($6.28),$13.10,($10.65),155.00,$9.17,$16.25,$16.07,2.53%,
7/31/2025,1,($54.80),($9.40),$0.00,($9.40),$1.90,($54.80),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.42%,
8/1/2025,1,($89.20),($34.40),$0.00,($34.40),$1.90,($89.20),($34.40),0.00%,($34.40),$0.00,($34.40),$0.00,($34.40),5.00,$32.50,$12.50,$46.90,0.42%,
8/4/2025,1,($57.35),$31.85,$31.85,$0.00,$1.90,($57.35),$0.00,100.00%,$31.85,$31.85,$0.00,$31.85,$0.00,5.00,$6.25,$33.75,$1.90,0.42%,
8/6/2025,1,($39.25),$18.10,$18.10,$0.00,$1.90,($39.25),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,0.00,$0.00,$20.00,$1.90,0.42%,
8/7/2025,3,($89.95),($50.70),$0.00,($50.70),$5.70,($89.95),($50.70),0.00%,($16.90),$0.00,($16.90),$0.00,($21.90),85.00,$15.00,$3.75,$20.65,1.27%,
8/12/2025,3,($96.90),($6.95),$35.60,($42.55),$5.70,($96.90),($42.55),33.33%,($2.32),$35.60,($21.28),$35.60,($30.65),85.00,$12.92,$12.50,$14.82,1.27%,
8/14/2025,2,($118.20),($21.30),$0.00,($21.30),$3.80,($118.20),($21.30),0.00%,($10.65),$0.00,($10.65),$0.00,($10.65),0.00,$8.75,$0.00,$10.65,0.84%,
