Performance,All trades,Long trades,Short trades,
Total net profit,($390.50),($11.75),($378.75),
Gross profit,$1233.95,$459.60,$774.35,
Gross loss,($1624.45),($471.35),($1153.10),
Commission,$228.00,$85.50,$142.50,
Profit factor,0.76,0.98,0.67,
Max. drawdown,($643.65),($234.95),($483.15),
Sharpe ratio,-0.35,-0.02,-0.39,
Sortino ratio,-0.38,-0.03,-0.41,
Ulcer index,0.00,0.00,0.00,
R squared,0.06,0.00,0.14,
Total Fees,$0.00,$0.00,$0.00,
Probability,87.79%,51.57%,91.50%,
,,,,
Start date,1/1/2026,,,
Start time,12:00 AM,,,
End date,7/5/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,120,45,75,
Percent profitable,35.00%,35.56%,34.67%,
# of winning trades,42,16,26,
# of losing trades,78,29,49,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,($3.25),($0.26),($5.05),
Avg. winning trade,$29.38,$28.73,$29.78,
Avg. losing trade,($20.83),($16.25),($23.53),
Ratio avg. win / avg. loss,1.41,1.77,1.27,
,,,,
Max. consec. winners,3,4,4,
Max. consec. losers,15,11,10,
Largest winning trade,$65.60,$65.60,$61.85,
Largest losing trade,($78.15),($46.90),($78.15),
,,,,
Avg. # of trades per day,0.97,0.37,0.63,
Avg. time in market,3.38 min,3.33 min,3.40 min,
Avg. bars in trade,0.68,0.67,0.68,
Profit per month,($66.54),($2.05),($67.16),
Max. time to recover,118.12 days,106.12 days,125.92 days,
Longest flat period,12.08 days,21.89 days,12.23 days,
,,,,
Avg. MAE,$15.52,$13.31,$16.85,
Avg. MFE,$16.60,$14.94,$17.60,
Avg. ETD,$19.86,$15.21,$22.65,
