Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
7/2/2025,1,($18.15),($18.15),$0.00,($18.15),$1.90,($18.15),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),5.00,$16.25,$3.75,$21.90,0.40%,
7/7/2025,3,($36.35),($18.20),$0.00,($18.20),$5.70,($36.35),($18.20),0.00%,($6.07),$0.00,($6.07),$0.00,($14.40),155.00,$14.17,$16.25,$22.32,1.21%,
7/10/2025,1,($52.00),($15.65),$0.00,($15.65),$1.90,($52.00),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),0.00,$13.75,$0.00,$15.65,0.40%,
7/15/2025,1,($38.90),$13.10,$13.10,$0.00,$1.90,($38.90),$0.00,100.00%,$13.10,$13.10,$0.00,$13.10,$0.00,10.00,$7.50,$15.00,$1.90,0.40%,
7/18/2025,2,($32.70),$6.20,$6.20,$0.00,$3.80,($35.80),$0.00,100.00%,$3.10,$3.10,$0.00,$3.10,$0.00,15.00,$2.50,$20.00,$16.90,0.81%,
7/22/2025,4,($52.80),($20.10),$31.20,($51.30),$7.60,($84.00),($51.30),50.00%,($5.03),$15.60,($25.65),$16.85,($25.65),300.00,$13.75,$16.25,$21.28,1.62%,
7/23/2025,4,($70.40),($17.60),$0.00,($17.60),$7.60,($70.40),($17.60),0.00%,($4.40),$0.00,($4.40),$0.00,($6.90),30.00,$15.63,$10.00,$14.40,1.62%,
7/31/2025,1,($79.80),($9.40),$0.00,($9.40),$1.90,($79.80),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.40%,
8/1/2025,1,($114.20),($34.40),$0.00,($34.40),$1.90,($114.20),($34.40),0.00%,($34.40),$0.00,($34.40),$0.00,($34.40),5.00,$32.50,$12.50,$46.90,0.40%,
8/4/2025,1,($82.35),$31.85,$31.85,$0.00,$1.90,($82.35),$0.00,100.00%,$31.85,$31.85,$0.00,$31.85,$0.00,5.00,$6.25,$33.75,$1.90,0.40%,
8/5/2025,2,($86.15),($3.80),$0.00,($3.80),$3.80,($86.15),($3.80),0.00%,($1.90),$0.00,($1.90),$0.00,($1.90),10.00,$6.25,$28.75,$30.65,0.81%,
8/6/2025,1,($68.05),$18.10,$18.10,$0.00,$1.90,($68.05),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,0.00,$0.00,$20.00,$1.90,0.40%,
8/7/2025,3,($121.25),($53.20),$0.00,($53.20),$5.70,($121.25),($53.20),0.00%,($17.73),$0.00,($17.73),$0.00,($21.90),85.00,$15.83,$3.75,$21.48,1.21%,
8/12/2025,1,($133.15),($11.90),$0.00,($11.90),$1.90,($133.15),($11.90),0.00%,($11.90),$0.00,($11.90),$0.00,($11.90),0.00,$10.00,$0.00,$11.90,0.40%,
8/14/2025,2,($154.45),($21.30),$0.00,($21.30),$3.80,($154.45),($21.30),0.00%,($10.65),$0.00,($10.65),$0.00,($10.65),0.00,$8.75,$0.00,$10.65,0.81%,
8/21/2025,6,($130.85),$23.60,$51.20,($27.60),$11.40,($178.25),($23.80),33.33%,$3.93,$25.60,($6.90),$26.85,($11.90),0.00,$3.33,$9.17,$5.23,2.43%,
8/22/2025,1,($165.25),($34.40),$0.00,($34.40),$1.90,($165.25),($34.40),0.00%,($34.40),$0.00,($34.40),$0.00,($34.40),20.00,$32.50,$11.25,$45.65,0.40%,
