Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MYM 09-26,Sim101,,Long,1,52623,52569,6/30/2026 10:01:56 AM,6/30/2026 10:06:16 AM,,Close,($27.00),($27.00),$0.00,$0.00,$0.00,$0.00,$0.00,$30.50,$18.00,$45.00,0,
2,MNQ 09-26,Sim101,,Short,1,30412.50,30367.50,6/30/2026 10:31:52 PM,7/1/2026 2:26:06 AM,,,$90.00,$63.00,$0.00,$0.00,$0.00,$0.00,$0.00,$129.50,$90.00,$0.00,0,
3,MNQ 09-26,Sim101,,Long,1,30356.75,30352.75,7/1/2026 3:27:45 AM,7/1/2026 3:32:10 AM,,Close,($8.00),$55.00,$0.00,$0.00,$0.00,$0.00,$0.00,$27.00,$5.00,$13.00,0,
4,MES 09-26,APEX4984730000003,,Long,1,7545.25,7545.75,7/1/2026 10:47:08 AM,7/1/2026 10:49:48 AM,,,$1.46,$56.46,$1.04,$0.00,$0.00,$0.00,$0.00,$2.50,$2.50,$1.04,0,
5,MYM 09-26,APEX4984730000003,,Long,1,52759,52814,7/1/2026 10:55:28 AM,7/1/2026 11:11:11 AM,,,$26.46,$82.92,$1.04,$0.00,$0.00,$0.00,$0.00,$27.50,$27.50,$1.04,0,
6,MYM 09-26,APEX4984730000003,,Long,1,52789,52814,7/1/2026 11:02:00 AM,7/1/2026 11:11:11 AM,,,$11.46,$94.38,$1.04,$0.00,$0.00,$0.00,$0.00,$12.50,$12.50,$1.04,0,
7,MES 09-26,Sim101,,Long,1,7543.50,7559.75,7/1/2026 10:46:02 AM,7/1/2026 11:11:43 AM,,Close,$81.25,$175.63,$0.00,$0.00,$0.00,$0.00,$0.00,$17.50,$105.00,$23.75,0,
8,MYM 09-26,APEX4984730000003,,Long,1,52797,52816,7/1/2026 11:16:49 AM,7/1/2026 11:20:15 AM,,,$8.46,$184.09,$1.04,$0.00,$0.00,$0.00,$0.00,$9.50,$9.50,$1.04,0,
9,MYM 09-26,APEX4984730000003,,Long,1,52817,52849,7/1/2026 11:22:30 AM,7/1/2026 11:24:58 AM,,,$14.96,$199.05,$1.04,$0.00,$0.00,$0.00,$0.00,$16.00,$16.00,$1.04,0,
10,MES 09-26,APEX4984730000003,,Long,1,7573.25,7576.25,7/1/2026 12:06:00 PM,7/1/2026 12:27:56 PM,,,$13.96,$213.01,$1.04,$0.00,$0.00,$0.00,$0.00,$15.00,$15.00,$1.04,0,
